Epoch 1 | TL 1.2945 | TA 54.10% | VL 1.0985 | VA 62.38%
Epoch 2 | TL 1.1530 | TA 58.77% | VL 1.0431 | VA 64.25%
Epoch 3 | TL 1.1151 | TA 59.57% | VL 1.0077 | VA 64.93%
Epoch 4 | TL 1.0977 | TA 59.98% | VL 0.9958 | VA 65.46%
Epoch 5 | TL 1.0781 | TA 60.83% | VL 0.9792 | VA 65.85%
Epoch 6 | TL 1.0665 | TA 61.04% | VL 0.9617 | VA 66.47%
Epoch 7 | TL 1.0508 | TA 61.61% | VL 0.9484 | VA 66.63%
Epoch 8 | TL 1.0481 | TA 61.93% | VL 0.9377 | VA 67.33%
Epoch 9 | TL 1.0386 | TA 62.34% | VL 0.9280 | VA 66.95%
Epoch 10 | TL 1.0303 | TA 62.33% | VL 0.9278 | VA 67.82%
